Label,Alpha,Beta,Gamma,Delta,Theta,Date
2,7.6501937,4.256142,1.943526,3.7283592,12.712947,42:34.6
2,8.113914,5.34915,2.4775085,-1.3328547,9.196024,43:05.5
2,7.9786277,5.915813,2.9200108,-0.4229061,10.328719,43:06.6
2,7.4649405,5.380929,2.5524495,-1.2646477,9.765829,43:07.6
2,6.600409,5.0427303,2.3649738,1.1257379,10.186047,43:08.5
2,7.043743,4.50403,2.257508,2.1405025,10.075874,43:09.4
2,4.655528,2.629058,0.7841073,1.6277729,10.308906,43:10.6
2,4.569611,1.8850222,0.1862962,0.84388703,9.879106,43:11.5
2,4.850839,1.0549167,-0.06981453,-0.79465264,8.354567,43:12.4
2,5.3636465,1.7555306,-0.18876235,-1.4815606,8.5709,43:13.5
2,5.4375196,0.923216,-0.114166096,-1.7092876,8.492667,43:14.5
2,5.2041764,0.6961578,-0.80236715,-2.087018,8.234959,43:15.5
2,5.2897797,1.6895179,-1.2061771,-2.4954658,7.108958,43:16.4
2,5.3995256,1.460824,-1.5507739,-0.022203898,7.351258,43:17.5
2,5.474391,1.444974,-1.4864213,0.35776466,8.159745,43:18.5
2,5.34282,2.998232,-0.14226553,2.4152062,10.038092,43:19.5
2,4.896316,5.095519,2.114658,3.0225928,9.928434,43:20.5
2,5.179607,4.6572156,1.9328986,2.8131447,9.715301,43:21.4
2,4.7794285,4.20284,1.4283808,1.1811432,8.804413,43:22.4
2,4.930751,3.8873005,1.0285201,-2.8886013,7.0286183,43:23.5
2,3.17967,0.9363109,-1.5557201,-4.793011,5.5488195,43:24.5
2,2.4540706,-0.42515245,-3.911811,-6.3645415,5.0014663,43:25.4
2,0.58490074,-0.72093534,-4.0087304,-8.272625,3.3146508,43:26.4
2,1.7287868,-0.88839835,-3.1838422,-8.160608,3.0141509,43:27.4
2,1.337691,-1.0093988,-3.4046826,-5.8474445,2.544066,43:28.4
2,2.4069543,-1.1880655,-2.8708055,-6.7059784,2.7422032,43:29.4
2,2.7239487,-0.3578713,-3.060373,-6.425143,2.1263301,43:30.3
2,2.9025111,-0.4039156,-2.9294715,-5.202979,1.4648926,43:31.4
2,2.4334998,-0.60559976,-2.3509758,-5.9741383,1.3233311,43:32.5
2,2.028575,-0.44606143,-2.3034194,-7.0413027,1.1422646,43:33.4
2,2.1991525,-0.97912663,-2.8560455,-6.8172865,3.0425353,43:34.4
2,1.3337202,-1.1954088,-3.0761518,-7.127796,4.2063236,43:35.5
2,2.1545355,-1.6460242,-3.6643517,-3.555114,7.3781357,43:36.3
2,2.8481739,-1.8866409,-3.507355,-2.5215166,7.259983,43:37.4
2,2.3976579,-2.1430426,-3.358574,-2.8224347,7.16412,43:38.4
2,2.4545255,-1.9600515,-2.810121,-2.7568412,8.216761,43:39.3
2,3.3125248,-0.69205505,-3.0356946,-3.3397307,6.033729,43:40.4
2,2.3472047,-0.26390263,-3.2718534,-4.304645,5.562687,43:41.3
2,2.0970507,0.045025013,-2.9382217,-4.243811,4.963058,43:42.4
2,5.0507693,0.43631047,-2.0868974,-1.8665041,5.333704,43:43.4
2,5.173571,0.13506663,-2.6105487,-2.0173626,4.867219,43:44.4
2,4.888476,1.0451604,-2.5015373,-0.6699041,6.004439,43:45.4
2,5.015168,1.9747205,-2.4679148,1.1414195,7.450222,43:46.4
2,5.5521107,2.834818,-2.7501793,0.857734,8.47463,43:47.3
2,5.188652,4.186344,-1.2305486,0.81263936,9.880147,43:48.3
2,6.1141453,5.524812,1.787772,2.598133,9.724752,43:49.3
2,6.194291,5.0055833,1.9744964,0.9987823,7.3920126,43:50.2
2,8.977559,5.8512664,2.8210661,1.9746584,9.796584,43:51.3
2,8.969056,6.552105,3.7331688,3.4519584,10.721152,43:52.2
2,8.195718,5.4962597,2.5488365,3.3519096,10.105335,43:53.3
2,5.586228,4.215592,3.6872072,-0.9501793,8.365847,44:07.3
2,5.4873476,3.876463,3.1990242,-2.1784213,6.4521475,44:08.2
2,5.7261496,3.0592709,2.6172757,-2.7727249,7.795695,44:09.3
2,5.8539896,3.3657176,2.1559596,-3.183744,6.5711913,44:10.2
2,6.3484178,3.2278173,1.6242883,-0.5368937,7.5376115,44:11.3
2,6.4986763,3.2530873,2.2320745,-0.1876384,8.060627,44:12.2
2,5.0059986,4.6647043,3.1298914,-0.5754398,7.5184827,44:13.3
2,5.7377067,4.7940135,3.2355533,0.6346463,8.878537,44:14.1
2,6.009978,4.520632,2.5307665,0.43778777,8.952494,44:15.2
2,7.000449,5.412406,2.6876593,2.1993587,9.946202,44:16.3
2,7.438395,4.580286,2.6970723,3.2339153,10.803832,44:17.2
2,6.5461707,3.3882022,1.3582782,3.091064,10.336934,44:18.3
2,5.455358,2.6594052,1.0537171,2.5892224,9.503986,44:19.3
2,4.278683,1.677356,0.8103984,1.6364406,9.63236,44:20.2
2,3.9426906,0.96083313,-1.1230428,-1.0960943,8.407422,44:21.1
2,4.07894,1.003972,-1.2570374,-0.48025686,8.771687,44:22.2
2,4.480218,1.5508329,-1.1361178,-0.291036,8.994772,44:23.1
2,5.0897083,2.2422385,-1.2666211,0.77755344,8.780574,44:24.2
2,5.496044,2.9504004,-1.7183784,0.7027286,8.796324,44:25.2
2,7.6110296,3.3411913,0.24497643,0.31508437,8.614545,44:26.2
2,8.819825,4.2552924,0.5970299,1.0738367,9.232701,44:27.2
2,9.417939,4.982235,1.2979567,4.877554,10.690561,44:28.2
2,9.696981,5.6578074,2.6203573,5.0524235,10.664579,44:29.2
2,9.978575,6.0395765,3.128838,5.3000255,11.532311,44:30.2
2,8.353543,6.1630163,2.648195,5.6411405,11.763525,44:31.2
2,6.8211617,5.623963,2.1135561,2.990008,10.76517,44:32.2
2,6.991192,4.535117,1.102842,2.6463645,10.182768,44:33.2
2,5.9717736,4.054316,1.0246369,3.3329957,9.8662615,44:34.2
2,6.8897567,4.9375997,0.8921773,2.9929807,9.242209,44:35.1
2,7.9819627,5.577418,1.317311,2.797186,10.194117,44:36.1
2,8.539511,5.997715,1.6092911,3.7952576,10.555223,44:37.1
2,7.461184,3.4918113,0.026069768,6.967172,13.335366,44:45.1
2,8.770654,4.5639563,0.8157497,7.2840757,12.800959,44:46.1
2,8.516342,4.1672335,0.5120685,7.7536697,12.066455,44:47.0
2,8.0703535,3.6818736,0.2552814,6.477193,11.160098,44:48.1
2,8.13502,3.9733272,-0.18059571,4.457446,9.816684,44:49.0
2,8.117742,3.371596,-0.73788273,2.0953064,8.346678,44:50.0
2,5.336911,1.7935363,-1.368563,0.118083335,8.645379,44:51.1
2,6.0274677,2.3247144,-1.2055099,-0.12412174,8.2256365,44:52.0
2,7.0234327,2.188401,-0.5375935,2.1835976,8.93528,44:53.1
2,8.314448,2.9933393,0.09710268,3.2524552,8.7448,44:54.2
2,7.8599176,2.587757,0.1281031,3.0807302,8.459641,44:55.0
2,8.1821,2.106383,-0.08291362,3.2596214,7.9753637,44:56.1
2,8.122313,2.4334822,-0.22013246,2.3064647,8.768796,44:57.0
2,7.76495,2.915967,-0.28910446,0.6994771,7.5183077,44:58.1
2,7.1236305,2.628061,-0.60330707,-0.10643999,7.772859,44:59.1
2,6.4896827,2.9778013,-0.6662361,-0.9267378,8.611214,45:00.0
2,6.0921793,2.517991,-0.9330027,-1.285795,6.869564,45:01.0
2,5.751239,2.0970933,-0.0846219,0.03599987,7.9640937,45:02.0
2,7.2494926,2.9953518,1.1361312,1.4086063,8.835844,45:03.1
2,7.554551,3.0597332,1.4363129,2.5228114,8.8048115,45:04.0
2,7.7235093,2.9310513,1.1567942,3.726392,9.253226,45:05.1
2,6.988238,3.1179996,0.9956208,4.066681,9.506362,45:06.0
2,6.8140535,2.9254723,0.5102432,4.753155,8.683232,45:07.1
2,5.671399,3.113493,0.4343273,2.554551,8.1045065,45:07.9
2,5.8735876,3.49476,0.24526305,2.8034234,10.157046,45:09.0
2,4.768009,3.354322,0.1978158,2.5231407,10.741379,45:10.0
2,5.84543,3.7147174,0.24550334,3.3203082,11.811206,45:11.0
2,6.212918,4.1051297,0.44890764,3.0346167,11.822147,45:12.0
2,6.2218676,3.3300045,0.23706475,2.9192095,11.122644,45:13.0
2,6.575203,3.6889577,0.07070221,1.7074089,8.638601,45:14.0
2,6.387512,3.8051744,-0.0863116,0.572671,7.290937,45:14.9
2,5.959795,2.9625225,-0.70064646,-1.6974586,6.9059663,45:16.0
2,6.3508596,2.6042347,-0.91133475,-1.4161406,6.6081905,45:17.0
2,6.545687,2.5837471,-0.697652,-0.2035454,6.4774804,45:17.9
2,6.274472,2.6897283,-0.014783831,0.47877726,7.654846,45:19.0
2,7.5300317,2.9610915,0.9534929,0.080528304,9.268112,45:19.9
2,6.577179,2.5146418,0.9797634,0.43787318,9.180426,45:20.9
2,6.6757903,2.8906193,1.0525826,-0.5630781,9.913022,45:21.9
2,6.870449,2.6585648,1.0202773,-1.4172544,9.764528,45:22.9
2,6.108703,2.7126184,0.18684825,-1.4877346,9.032638,45:23.8
2,6.526694,2.3325422,-0.8961635,-0.8764879,7.913122,45:24.9
2,6.6959925,2.5257425,-0.6173349,1.0544937,8.421148,45:25.9
2,7.2238135,2.2881205,-0.101996645,1.5689828,7.9407477,45:26.9
2,6.4420867,1.8378813,-0.33518454,0.60747665,7.447325,45:28.0
2,5.743341,1.615833,-0.852886,0.5120392,7.958202,45:28.8
2,4.7790675,1.7785227,-1.2175606,-2.3162649,8.432976,45:29.9
2,4.3248744,1.6013801,-1.9541978,-2.0240147,10.177724,45:30.9
2,4.0820312,1.3919822,-1.826521,-2.9958897,10.996995,45:31.9
2,4.6390066,1.7664545,-1.8165666,-2.4715028,11.960591,45:32.9
2,4.678916,1.9006622,-1.6830574,4.1186204,13.148592,45:33.9
2,4.8638463,1.3489416,-1.7261251,3.8770592,11.598224,45:34.9
2,5.667247,1.6872001,-1.9099008,4.019493,11.556254,45:35.8
2,4.818956,1.4544783,-2.7972388,4.6622057,11.473981,45:37.0
2,4.399086,1.4271464,-2.2977433,0.8047282,11.112653,45:37.9
2,4.5776157,1.8698524,-1.8594725,0.63164914,11.34683,45:38.8
2,4.262991,1.8510575,-1.5920736,0.11125779,10.748943,45:39.9
2,3.9898858,1.2447022,-2.1021008,-1.3900944,10.709318,45:40.9
2,3.9180596,0.8433926,-2.1664934,-1.4586365,9.908276,45:41.8
2,3.4290333,0.62835336,-2.6694608,-0.85039103,8.671381,45:42.9
2,4.7927885,0.035715763,-2.756484,0.37252185,9.730036,45:43.8
2,4.766883,0.36140087,-2.6047533,0.9672578,9.725594,45:44.9
2,4.428178,0.5308833,-2.412711,1.111793,9.651101,45:45.8
2,5.3622675,0.95131326,-2.7009943,0.089121535,8.479948,45:46.9
2,5.060798,0.7027885,-2.354387,0.3096549,8.216332,45:47.9
2,4.5761137,0.5948051,-2.4661193,-0.20952292,6.774514,45:48.8
2,6.1895857,1.5755949,-2.4714518,-0.16297345,5.16821,45:49.9
2,4.926675,1.3324804,-2.9731286,0.5134399,5.2304645,45:50.8
2,5.308468,1.6887599,-2.8846536,-0.08668711,4.8211813,45:51.9
2,5.6635623,1.6644524,-2.8077781,-0.8443738,4.042651,45:52.9
2,4.862481,1.6511124,-2.9423714,-1.164655,4.515884,45:53.8
2,3.7197661,1.8879974,-1.1710614,-2.3553522,7.4835973,45:54.8
2,5.3238835,2.7312548,-0.018816086,-3.0622387,8.69639,45:55.8
2,5.747111,2.6580236,0.044543847,0.5915866,10.483605,45:56.7
2,6.1802025,3.0466397,0.58602804,0.96707153,11.534615,45:57.8
2,6.4501204,3.3850806,0.07001128,1.7438968,10.920701,45:58.8
2,6.5844407,3.160349,-0.7269385,2.0332937,10.987601,45:59.8
2,6.609675,3.1538365,-0.74703085,1.8629873,10.455392,46:00.8
2,5.2616405,2.859719,-0.8653504,-0.1548637,7.447768,46:01.8
2,5.4977098,2.4946167,-0.46841058,0.001046229,7.2142634,46:02.7
2,5.844025,2.1973703,-0.095716216,-0.96781766,7.0159235,46:03.8
2,5.208043,2.070738,1.0788207,1.178515,7.747636,46:04.7
2,6.275708,1.6501982,1.2670555,1.1075733,8.28383,46:05.6
2,5.656433,1.2715789,0.62880385,1.6985155,9.0485525,46:06.7
2,5.342707,1.2978241,0.43542147,2.2942894,9.582258,46:07.6
2,4.9176702,1.1729224,-0.32001173,0.3335528,8.20665,46:08.7
2,5.144371,2.325408,-0.19507854,0.5168581,8.921956,46:09.6
2,4.9851255,2.4980285,-1.0416907,-0.5239426,8.265376,46:10.7
2,5.813435,2.5114825,-0.501505,2.691274,9.610781,46:11.7
2,5.62604,2.7242682,-0.68221146,2.4484916,8.649614,46:12.7
2,5.7002954,2.5038793,-1.1831719,2.5366502,8.0268135,46:13.7
2,5.409507,2.016326,-1.2274402,3.0438485,8.990714,46:14.8
2,5.2599163,3.456271,0.029422855,1.1411016,8.219665,46:15.7
2,5.5539093,3.338387,0.17675118,0.60345775,8.235394,46:16.7
2,6.119309,3.590254,0.2799942,0.9603241,8.359148,46:17.6
2,5.063961,3.44882,0.06840069,-0.036142588,6.9094634,46:18.8
2,3.7877083,2.6713688,-1.0245243,-3.5909996,6.2601604,46:19.8
2,4.708182,2.4583764,-1.9096062,-5.630139,5.832951,46:20.7
2,5.3404617,2.3249881,-0.5414787,-4.495281,6.621411,46:21.6
2,5.9814687,1.7263082,0.22760537,-1.0732523,7.9247336,46:22.6
2,6.176447,1.5699797,0.96809864,3.3221939,9.306114,46:23.7
2,6.712111,2.1237316,1.0588351,3.6326241,9.990005,46:24.7
2,7.537709,2.379517,1.4127475,3.5523307,11.079007,46:25.6
2,6.553829,3.3083894,-0.52917993,3.140486,10.693628,46:26.6
2,7.0957603,3.1492546,-0.7630986,1.6877534,10.86784,46:27.7
2,7.223628,2.4275498,-1.2668613,-0.56020117,10.312174,46:28.7
2,6.552745,2.3128645,-1.9518119,-0.31273127,8.373894,46:29.7
2,6.751673,2.313417,-1.2484332,1.8684832,8.435415,46:30.6
2,6.1875815,3.8834844,0.38617766,2.9064662,8.220734,46:31.6
2,7.3880363,5.5267296,3.9713938,4.4084883,11.603481,46:51.6
2,6.7147117,4.7783127,2.9307942,4.2874856,9.442426,46:52.6
2,5.9444,4.2707644,2.467022,5.28398,9.717841,46:53.5
2,5.953436,3.7363105,2.0603034,5.3644657,9.227569,46:54.5
2,5.9936247,3.4558804,1.1592333,2.038396,8.8212595,46:55.6
2,5.3516417,3.6936512,1.2769455,2.4350233,9.726165,46:56.6
2,6.204267,3.6690447,1.2766018,3.1215127,10.782697,46:57.5
2,6.6916084,3.43575,0.16997567,3.9287732,10.570835,46:58.5
2,6.8887467,3.3651812,-0.59629273,3.4003346,10.47821,46:59.6
2,6.322694,3.2765415,-0.54213697,3.0297296,10.013565,47:00.5
2,5.129015,2.7176445,-0.53690886,2.8777194,8.583822,47:01.5
2,5.180196,2.9939933,-0.011941195,0.87015945,8.011902,47:02.4
2,5.864648,3.0173397,0.6955985,0.93261653,7.840139,47:03.5
2,5.799307,2.6872306,0.32156673,0.60257536,7.8218164,47:04.6
2,5.910904,2.1304379,0.04914719,0.5646795,7.568046,47:05.5
2,6.0040197,1.7403929,-0.624027,-1.8936956,8.083643,47:06.5
2,5.0153837,0.81095433,-1.4562753,-0.2339724,7.964566,47:07.5
2,3.9992917,1.068131,-2.1732113,0.090389706,7.987527,47:08.5
2,4.4666452,1.5076389,-1.8987186,0.9081334,7.78618,47:09.5
2,5.9293237,2.0803108,-1.1518706,1.4539753,8.830333,47:10.4
2,6.627759,3.3597577,0.046100248,1.861346,8.7481,47:11.5
2,7.520772,3.384287,-0.03719912,2.47288,9.192541,47:12.5
2,8.297234,3.3204074,0.5187897,2.7566934,10.146991,47:13.5
2,7.7013946,3.3005557,0.6383341,2.6978137,9.67936,47:14.4
2,8.144176,3.200947,0.2706388,3.275989,9.907664,47:15.4
2,8.524057,3.8509583,1.6060973,1.9947323,8.993805,47:16.4
2,8.3538685,4.263541,1.3304012,4.240495,9.183603,47:17.4
2,8.805603,4.3059425,1.5238165,4.2467203,10.47279,47:18.5
2,8.476505,4.2358985,1.4858474,4.3295803,11.02858,47:19.5
2,7.9834356,4.1512423,1.2323735,5.4619207,11.518289,47:20.4
2,9.413588,3.8479304,1.0543993,5.587306,13.148251,47:21.4
2,8.902805,3.7512152,-0.5593091,6.0830564,12.81357,47:22.4
2,7.94143,3.4722395,-0.076800466,5.8015,12.080538,47:23.4
2,7.267713,3.2846692,-0.055894334,5.5844936,11.162759,47:24.4
2,6.881691,3.3207288,-0.5984734,5.8864822,11.345321,47:25.4
2,5.213029,3.1360385,-0.5732182,3.2376008,11.397159,47:26.5
2,6.2938247,3.4940305,0.7381753,1.2799623,11.96322,47:27.4
2,7.1962533,4.163728,1.1162381,1.1546141,11.09648,47:28.4
2,7.937253,5.1888676,1.0646483,3.6426861,9.872247,47:29.3
2,7.521605,5.471275,1.6476504,4.5463777,9.055616,47:30.4
2,7.3120255,6.017848,1.6562424,6.121893,10.565226,47:31.4
2,6.7394495,5.4045343,1.2147962,6.904912,11.396072,47:32.4
2,6.3983803,4.764614,1.7385598,5.957926,11.207478,47:33.4
2,6.466796,4.1556644,0.5777337,5.0863523,11.396092,47:34.3
2,6.488514,3.931544,1.2388753,2.670139,10.612585,47:35.3
2,7.4558334,3.9049768,0.78280014,1.6653912,10.6050825,47:36.3
2,7.819331,4.0327597,1.0077784,1.1875514,10.253147,47:37.3
2,7.6761003,3.579443,0.9780388,0.30898166,8.881627,47:38.3
2,8.102922,3.2229097,0.6765209,-0.31535167,9.455254,47:39.3
2,7.4315033,2.8354576,0.22321358,0.06689644,9.780794,47:40.3
2,7.090041,2.6431484,0.17893185,0.3091732,9.233585,47:41.3
2,6.4565873,2.2380543,-0.8869397,1.8483137,8.5474205,47:42.3
2,7.617997,3.2130673,-0.2070248,3.1922433,8.956611,47:43.4
2,7.989947,2.8007247,-0.15981485,4.702815,8.498671,47:44.2
2,8.520124,3.379184,-0.45630533,5.173531,9.066509,47:45.3
2,8.698519,4.180164,0.18037418,4.2928276,9.9458475,47:46.3
2,9.106972,4.7020125,-0.13908933,4.612066,10.823021,47:47.3
2,8.335036,4.167615,0.17475936,3.4823387,10.634931,47:48.4
2,8.415711,4.2455783,0.77768,4.6670284,11.079647,47:49.3
2,8.820008,4.281064,0.7113846,5.011918,11.5939455,47:50.4
2,8.923422,3.6568933,1.2172642,3.6333268,10.288903,47:51.3
2,8.117067,4.0295806,1.3981026,4.540526,10.174929,47:52.2
2,7.8850923,4.356276,1.5699975,4.1247797,10.76131,47:53.2
2,8.2124605,4.242389,2.2501729,3.2345283,10.937817,47:54.3
2,7.9635553,4.3890524,2.8464925,4.2858076,11.092276,47:55.2
2,7.612458,4.4141607,0.55016524,3.6168094,11.375395,48:00.2
2,6.002777,3.6115654,-0.20979084,2.9600043,10.817752,48:01.3
2,4.5249987,3.1605814,-1.0847732,0.8631449,8.585439,48:02.3
2,4.764743,2.943874,-1.5810645,1.3181219,7.0602546,48:03.2
2,4.3311625,2.9696414,-1.326193,2.754615,7.599573,48:04.2
2,6.662973,3.436344,-1.1890662,4.1835794,8.433627,48:05.2
2,7.482953,2.659935,-1.1044298,4.632518,10.649488,48:06.2
2,8.4945135,3.149062,-1.0056876,4.7217484,12.593599,48:07.3
2,8.471708,2.9855125,-0.66298795,3.772206,13.002902,48:08.3
2,8.366279,2.885172,-0.8326165,3.284504,13.131926,48:09.2
2,8.390409,3.5725799,-0.1923221,3.329452,12.9209385,48:10.2
2,8.157914,3.5131514,0.252248,8.734563,12.417256,48:11.2
2,8.758186,3.0542412,0.077974096,10.612917,13.348121,48:12.1
2,8.489938,4.3813634,0.9371466,11.678751,13.154601,48:13.3
2,10.543816,4.23677,0.64191467,12.16727,13.04458,48:14.2
2,9.615992,4.2753067,0.5692564,11.439028,13.789125,48:15.2
2,9.016493,5.0658712,1.7423573,10.888923,13.630879,48:16.1
2,9.453552,4.6472535,1.1392136,10.676474,13.046629,48:17.2
2,8.90213,4.6349626,1.6336176,10.228243,13.318572,48:18.2
2,8.815974,4.7694325,2.5393414,10.513548,13.033379,48:19.2
2,9.007917,4.3514786,1.7884334,10.498812,12.713248,48:20.2
2,8.137847,3.4611926,0.91405064,8.611433,12.27034,48:34.1
2,6.6818175,2.5751193,0.7784154,6.8897805,11.4582,48:35.1
2,6.111329,3.1249824,-0.34238482,3.8649108,10.493825,48:36.1
2,5.21687,3.3438234,-0.36807758,2.5120387,10.1031475,48:37.1
2,6.0928245,2.8556125,-1.8486952,3.3148112,9.996387,48:38.0
2,4.8998585,3.279742,-1.2905846,4.4449887,9.119206,48:39.1
2,6.171136,3.1512933,-1.1741027,4.901988,10.149147,48:40.1
2,6.9076486,2.705548,-1.1646807,4.916533,10.676947,48:41.1
2,6.3115396,3.022898,-1.0033863,4.1743402,10.562149,48:42.0
2,6.427207,3.0454526,-1.4606434,3.7872055,9.99274,48:43.0
2,5.655723,2.7098336,-2.0671718,2.1824853,8.872906,48:44.0
2,6.555036,2.4903772,-0.9850434,1.7083864,8.715442,48:45.0
2,4.7243214,2.6597457,-0.32370576,0.302615,8.0990715,48:46.1
2,4.817928,2.6553915,-0.20520191,1.0362564,8.827443,48:47.0
2,3.9365017,1.3987149,-0.19737472,0.66047806,8.632752,48:48.0
2,3.9124856,1.6027337,-0.4732706,0.37171134,8.608392,48:49.0
2,4.007314,1.4949565,-0.7717037,-0.767942,8.317701,48:50.0
2,4.1607127,1.6996844,-1.4433535,-3.39177,5.46961,48:51.0
2,3.2370484,1.9202324,-1.242256,-0.61413157,5.4997444,48:52.0
2,5.5989857,2.3652744,-0.041359816,-0.8752516,5.8945856,48:53.1
2,4.99124,2.1669025,0.13810715,-0.8330797,5.421403,48:54.0
2,3.6646163,2.1022365,0.30098516,-0.5546393,6.0222588,48:55.0
2,4.781863,2.2120433,-0.029021032,-0.12031009,6.4848304,48:56.0
2,4.2620544,1.3985091,-1.2129081,-3.208587,5.5454497,48:57.0
2,2.8509812,1.1798764,-2.1611898,-2.420877,4.802394,48:58.0
2,3.6425278,0.9244874,-1.8745917,-3.5867317,3.8703709,48:59.0
2,4.8365355,0.5820673,-2.7060826,-3.7009544,5.934664,49:00.1
2,4.968589,1.827669,-1.9133171,-3.61829,7.321352,49:01.0
2,5.9130855,2.5773754,-0.69075865,-1.3931476,10.882216,49:02.0
2,7.227729,4.54134,0.008918106,1.3069935,12.178638,49:03.0
2,6.727165,4.3816056,0.01962006,1.0192679,11.868687,49:04.0
2,5.680243,4.2091637,-0.31289807,1.090852,11.826133,49:04.9
2,5.5981603,3.9048853,-0.6473369,1.882725,10.514462,49:05.9
2,6.2305546,2.9923818,-1.4346503,-0.073302984,10.790419,49:07.0
2,4.3073215,1.9835289,-2.1217475,-0.9947332,10.531656,49:07.9
2,6.502797,1.0247784,-0.80232376,-0.37184793,10.906475,49:09.0
2,7.10341,1.6161649,-0.31679565,1.5964472,11.312225,49:10.0
2,5.77991,0.29371008,-0.2620349,2.6165986,11.666602,49:11.0
2,6.2174387,0.4263357,0.223065,3.7723832,12.085556,49:11.9
2,4.161634,0.8336134,-0.5934928,3.0223496,11.580705,49:12.9
2,4.9905543,1.065343,-0.71821976,2.7682881,8.619568,49:13.9
2,3.1915574,0.91938,-1.333195,0.8717128,5.319662,49:14.9
2,3.8096855,1.2309496,-0.5931251,-2.6345,4.2749662,49:15.9
2,3.9926949,1.647673,-0.7054389,-2.4917102,4.250238,49:16.9
2,3.213224,1.0853361,-1.3769076,-1.3487362,4.201586,49:17.9
2,2.7099054,0.78433377,-1.7429583,-1.0499932,4.108506,49:18.9
2,2.5815434,1.1027131,-2.311148,-1.0114148,5.879831,49:19.9
2,3.1497092,0.73722684,-0.8900698,1.0204136,7.9949512,49:20.9
2,3.5163617,2.749912,-0.009507465,2.8413978,9.682512,49:21.8
2,4.2190757,3.853888,0.79222363,3.275788,9.923988,49:22.9
2,4.864667,4.123121,0.62786925,3.3231862,9.844774,49:23.8
2,5.518247,4.398824,0.9743254,3.7547069,11.050575,49:24.9
2,5.502404,4.668456,1.43953,1.0993092,10.066659,49:25.8
2,5.7682667,4.5716524,1.2772915,1.0086468,9.8046665,49:26.9
2,6.0533433,4.189423,1.6074611,2.0255008,9.571869,49:27.8
2,6.0827813,4.2224083,1.638754,2.3582456,10.050898,49:28.8
2,5.987195,3.4210513,0.42989683,2.3718507,9.639887,49:29.8
2,7.286818,4.443607,0.2982361,2.6019561,8.91289,49:30.8
2,7.079238,4.0544252,-0.40091676,4.5660825,8.375592,49:31.8
2,6.7171507,3.862066,-0.5620756,3.6903248,9.111491,49:32.7
2,5.806933,3.737545,-0.92602813,4.3729467,9.050488,49:33.7
2,6.628988,4.0586486,-1.1818582,5.1853833,9.829593,49:34.7
2,5.3431497,3.451982,-1.0774438,3.8112407,10.09123,49:35.8
2,4.7341495,2.8234286,-1.1564286,3.4807625,9.8272505,49:36.8
2,5.6124187,3.1326747,-0.38051626,3.9301925,11.450867,49:37.8
2,6.332471,2.939649,0.504513,3.5150533,11.211919,49:38.8
2,6.0586934,2.460066,1.4213799,3.6340687,11.662843,49:39.8
2,7.136505,3.4310656,2.3404152,3.896162,11.620293,49:40.8
